REF_DATE,GEO,Age group,Participation rate,Unemployment rate,Population_growth_rate,Labour_force_growth_rate,Full_vs_Part_time_ratio
1976-01,Alberta,15 to 24 years,69.6,8.1,,,3.0738137082601056
1976-01,British Columbia,15 to 24 years,64.3,14.2,,,2.8721804511278197
1976-01,Manitoba,15 to 24 years,68.3,10.8,,,4.012931034482759
1976-01,New Brunswick,15 to 24 years,55.8,16.3,,,4.0546875
1976-01,Newfoundland and Labrador,15 to 24 years,51.8,18.1,,,7.803571428571429
1976-01,Nova Scotia,15 to 24 years,60.4,14.3,,,3.76300578034682
1976-01,Ontario,15 to 24 years,65.1,10.9,,,3.1307484220018034
1976-01,Prince Edward Island,15 to 24 years,60.1,18.2,,,2.8620689655172415
1976-01,Quebec,15 to 24 years,59.9,14.4,,,5.318483412322275
1976-01,Saskatchewan,15 to 24 years,64.8,7.6,,,3.427350427350427
1976-02,Saskatchewan,15 to 24 years,66.9,8.5,0.2893518518518601,3.571428571428581,3.6375545851528384
1976-02,Quebec,15 to 24 years,60.1,15.4,0.09224383119379453,0.5007061240210664,5.310476190476191
1976-02,Prince Edward Island,15 to 24 years,62.7,20.3,0.0,4.379562043795615,3.75
1976-02,Ontario,15 to 24 years,64.8,10.7,0.139328689043694,-0.4084808403034379,3.083966056275123
1976-02,Nova Scotia,15 to 24 years,60.0,13.8,0.12562814070351536,-0.5202913631633721,3.6553672316384183
1976-02,Manitoba,15 to 24 years,67.2,7.1,0.0,-1.610429447852757,4.223684210526316
1976-02,New Brunswick,15 to 24 years,55.0,16.9,0.07209805335255393,-1.2919896640826822,4.87962962962963
1976-02,British Columbia,15 to 24 years,65.0,13.7,0.14989293361884481,1.3324450366422491,2.712871287128713
1976-02,Alberta,15 to 24 years,69.9,6.8,0.9384487993375545,1.3872374157748668,3.202821869488536
1976-02,Newfoundland and Labrador,15 to 24 years,51.4,18.6,0.0,-0.830564784053156,8.169811320754716
1976-03,Ontario,15 to 24 years,65.3,11.1,0.1391348343030563,1.0156250000000089,2.9800951968844656
1976-03,Saskatchewan,15 to 24 years,63.2,7.3,0.2885170225043199,-5.344827586206902,3.8708133971291865
1976-03,Quebec,15 to 24 years,59.3,13.6,0.053759311880807736,-1.290240163515588,5.489795918367347
1976-03,Prince Edward Island,15 to 24 years,61.0,12.9,0.0,-2.7972027972028024,2.935483870967742
1976-03,Nova Scotia,15 to 24 years,59.7,14.1,0.06273525721456341,-0.3138075313807498,3.761627906976744
1976-03,Manitoba,15 to 24 years,68.4,6.7,0.05238344683080598,1.7926734216679563,3.7170542635658914
1976-03,New Brunswick,15 to 24 years,55.9,15.4,0.07204610951008217,1.7015706806282616,5.3173076923076925
1976-03,British Columbia,15 to 24 years,65.1,14.3,0.12828736369467908,0.2301117685733045,2.9411764705882355
1976-03,Alberta,15 to 24 years,71.7,7.9,0.9570686354935631,3.4792806880375338,3.24
1976-03,Newfoundland and Labrador,15 to 24 years,50.3,19.5,0.0,-2.010050251256279,8.42
1976-04,Saskatchewan,15 to 24 years,66.4,6.0,0.28768699654775354,5.373406193078334,3.9680365296803655
1976-04,Quebec,15 to 24 years,59.9,14.9,0.04605465151981125,1.1000388248997073,5.389423076923077
1976-04,Prince Edward Island,15 to 24 years,61.2,14.4,-0.43859649122807154,0.0,3.4444444444444446
1976-04,Ontario,15 to 24 years,65.1,10.3,0.13894151825186718,-0.2610208816705373,2.9935289042277824
1976-04,Nova Scotia,15 to 24 years,60.3,14.8,0.06269592476488839,0.9443861490031402,3.5303867403314917
1976-04,New Brunswick,15 to 24 years,55.8,15.5,0.07199424046075986,-0.12870012870013214,5.56
1976-04,Manitoba,15 to 24 years,67.5,7.7,0.0,-1.225114854517606,3.9377593360995853
1976-04,British Columbia,15 to 24 years,66.2,15.0,0.12812299807816174,1.771072482781233,3.099533437013997
1976-04,Alberta,15 to 24 years,70.8,6.3,0.9209100758396538,-0.3777861730260623,3.0657894736842106
1976-04,Newfoundland and Labrador,15 to 24 years,51.4,20.3,0.0,2.051282051282044,10.357142857142858
1976-05,Ontario,15 to 24 years,65.7,10.5,0.13874873864783144,1.0855868954153358,2.86341059602649
1976-05,Saskatchewan,15 to 24 years,66.4,6.4,0.2868617326448719,0.2592912705272177,4.1469194312796205
1976-05,Quebec,15 to 24 years,59.2,14.4,0.05370569280342963,-1.1392729134664603,6.156926406926407
1976-05,Prince Edward Island,15 to 24 years,62.1,13.5,0.0,1.4388489208633004,3.066666666666667
1976-05,Nova Scotia,15 to 24 years,60.0,16.4,0.06265664160400863,-0.4158004158004158,3.171875
1976-05,British Columbia,15 to 24 years,66.5,16.0,0.14928556195350495,0.6767644215275537,3.351575456053068
1976-05,New Brunswick,15 to 24 years,55.7,16.8,0.07194244604316058,-0.12886597938144284,5.323529411764706
1976-05,Alberta,15 to 24 years,72.0,7.4,0.9125067096081629,2.6545316647705652,3.4119718309859155
1976-05,Newfoundland and Labrador,15 to 24 years,50.4,18.6,-0.0860585197934638,-2.010050251256279,8.714285714285714
1976-05,Manitoba,15 to 24 years,67.2,7.3,0.0,-0.5426356589147252,3.7182539682539684
1976-06,Alberta,15 to 24 years,71.1,7.2,0.9308510638297962,-0.2955301071296601,3.7264150943396226
1976-06,British Columbia,15 to 24 years,66.1,15.1,0.12776831345826523,-0.5441741357234298,3.0694444444444446
1976-06,Manitoba,15 to 24 years,68.1,8.2,0.052356020942401216,1.480904130943106,3.901639344262295
1976-06,New Brunswick,15 to 24 years,56.5,17.3,0.07189072609632419,1.4193548387096744,5.132075471698113
